,UV（PC/APP）,PV（PC/APP,模块浏览量(PC/APP),,,,,模块总使用时间(PC/APP),,,,,资产概况,,,,,公司概况,,,
,,,资产管理,数据报表,盘点管理,用户管理,未知模块,资产管理,数据报表,盘点管理,用户管理,未知模块,资产总数,领用,借用,闲置,退库,子公司,部门,人员
总数,0/0,0/0,0/0,0/0,0/0,0/0,0/0,,,,,,461(0),391(0),0(0),70(0),4(0),0(0),15(0),302(0)
北京华清易点科技有限公司,0/0,0/0,0/0,0/0,0/0,0/0,0/0,,,,,,461(0),391(0),0(0),70(0),4(0),0(0),15(0),302(0)

总数,2/2,12/12,0/0,1/1,4/4,7/7,0/0,,,,,,45(0),19(0),3(0),23(0),1(0),5(0),26(0),35(0)
易点租test1,1/1,3/3,0/0,1/1,0/0,2/2,0/0,,,,,,25(0),6(0),3(0),16(0),1(0),5(0),10(0),10(0)
cyl易点租测试,1/1,3/3,0/0,0/0,0/0,3/3,0/0,,,,,,1(0),0(0),0(0),1(0),0(0),0(0),4(0),6(0)
cyl冒烟测试公司,2/2,2/2,0/0,0/0,2/2,0/0,0/0,,,,,,12(0),10(0),0(0),2(0),0(0),0(0),3(0),4(0)
20170109手动新增001,0/0,0/0,0/0,0/0,0/0,0/0,0/0,,,,,,1(0),0(0),0(0),1(0),0(0),0(0),1(0),1(0)
马晴专用公司,1/1,1/1,0/0,0/0,0/0,1/1,0/0,,,,,,5(0),3(0),0(0),2(0),0(0),0(0),4(0),10(0)
北京华清一点阿斯蒂芬,1/1,3/3,0/0,0/0,2/2,1/1,0/0,,,,,,1(0),0(0),0(0),1(0),0(0),0(0),4(0),4(0)

总数,0/0,0/0,0/0,0/0,0/0,0/0,0/0,,,,,,2(0),2(0),0(0),0(0),0(0),2(0),4(0),7(0)
易点租test2,0/0,0/0,0/0,0/0,0/0,0/0,0/0,,,,,,2(0),2(0),0(0),0(0),0(0),2(0),1(0),2(0)
北京易点淘,0/0,0/0,0/0,0/0,0/0,0/0,0/0,,,,,,0(0),0(0),0(0),0(0),0(0),0(0),2(0),5(0)
北京华清易点,0/0,0/0,0/0,0/0,0/0,0/0,0/0,,,,,,0(0),0(0),0(0),0(0),0(0),0(0),1(0),0(0)

总数,0/0,0/0,0/0,0/0,0/0,0/0,0/0,,,,,,62(0),0(0),0(0),62(0),0(0),0(0),7(0),79(0)
融泰浩元（北京）网络科技有限公司,0/0,0/0,0/0,0/0,0/0,0/0,0/0,,,,,,62(0),0(0),0(0),62(0),0(0),0(0),7(0),79(0)

总数,0/0,0/0,0/0,0/0,0/0,0/0,0/0,,,,,,79(0),54(0),0(0),25(0),0(0),0(0),7(0),54(0)
北京全星时空科技有限公司,0/0,0/0,0/0,0/0,0/0,0/0,0/0,,,,,,79(0),54(0),0(0),25(0),0(0),0(0),7(0),54(0)

总数,0/0,0/0,0/0,0/0,0/0,0/0,0/0,,,,,,93(0),60(0),0(0),33(0),0(0),0(0),11(0),90(0)
融泰浩元（北京）网络科技有限公司,0/0,0/0,0/0,0/0,0/0,0/0,0/0,,,,,,93(0),60(0),0(0),33(0),0(0),0(0),11(0),90(0)

总数,0/0,0/0,0/0,0/0,0/0,0/0,0/0,,,,,,73(0),39(0),0(0),34(0),2(0),4(0),5(0),70(0)
北京互连众信科技有限公司,0/0,0/0,0/0,0/0,0/0,0/0,0/0,,,,,,52(0),39(0),0(0),13(0),2(0),4(0),5(0),70(0)
郑州分公司,0/0,0/0,0/0,0/0,0/0,0/0,0/0,,,,,,7(0),0(0),0(0),7(0),0(0),0(0),0(0),0(0)
昆山分公司,0/0,0/0,0/0,0/0,0/0,0/0,0/0,,,,,,0(0),0(0),0(0),0(0),0(0),0(0),0(0),0(0)
广州分公司,0/0,0/0,0/0,0/0,0/0,0/0,0/0,,,,,,8(0),0(0),0(0),8(0),0(0),0(0),0(0),0(0)
佛山分公司,0/0,0/0,0/0,0/0,0/0,0/0,0/0,,,,,,6(0),0(0),0(0),6(0),0(0),0(0),0(0),0(0)

总数,0/0,0/0,0/0,0/0,0/0,0/0,0/0,,,,,,1(0),1(0),0(0),0(0),0(0),1(0),2(0),3(0)
张允彬的测试公司,0/0,0/0,0/0,0/0,0/0,0/0,0/0,,,,,,1(0),1(0),0(0),0(0),0(0),1(0),2(0),3(0)
SaaS,0/0,0/0,0/0,0/0,0/0,0/0,0/0,,,,,,0(0),0(0),0(0),0(0),0(0),0(0),0(0),0(0)

总数,0/0,0/0,0/0,0/0,0/0,0/0,0/0,,,,,,0(0),0(0),0(0),0(0),0(0),0(0),0(0),1(0)
OneAPM,0/0,0/0,0/0,0/0,0/0,0/0,0/0,,,,,,0(0),0(0),0(0),0(0),0(0),0(0),0(0),1(0)

总数,0/0,0/0,0/0,0/0,0/0,0/0,0/0,,,,,,11(0),4(0),1(0),6(0),1(0),1(0),10(0),10(0)
艳玲测试账号,0/0,0/0,0/0,0/0,0/0,0/0,0/0,,,,,,8(0),2(0),1(0),5(0),1(0),1(0),4(0),4(0)
测试新增公司,0/0,0/0,0/0,0/0,0/0,0/0,0/0,,,,,,3(0),2(0),0(0),1(0),0(0),0(0),6(0),6(0)

总数,0/0,0/0,0/0,0/0,0/0,0/0,0/0,,,,,,1(0),0(0),0(0),1(0),0(0),0(0),2(0),3(0)
研发测试,0/0,0/0,0/0,0/0,0/0,0/0,0/0,,,,,,1(0),0(0),0(0),1(0),0(0),0(0),2(0),3(0)

总数,0/0,0/0,0/0,0/0,0/0,0/0,0/0,,,,,,44(0),0(0),0(0),44(0),0(0),1(0),1(0),2(0)
蜜芽宝贝实施测试,0/0,0/0,0/0,0/0,0/0,0/0,0/0,,,,,,0(0),0(0),0(0),0(0),0(0),1(0),1(0),2(0)
蜜芽宝贝（北京）,0/0,0/0,0/0,0/0,0/0,0/0,0/0,,,,,,44(0),0(0),0(0),44(0),0(0),0(0),0(0),0(0)

总数,0/0,0/0,0/0,0/0,0/0,0/0,0/0,,,,,,113(0),1(0),0(0),112(0),0(0),1(0),1(0),3(0)
趣分期实施测试,0/0,0/0,0/0,0/0,0/0,0/0,0/0,,,,,,113(0),1(0),0(0),112(0),0(0),1(0),1(0),3(0)
趣分期实施测试华北分公司,0/0,0/0,0/0,0/0,0/0,0/0,0/0,,,,,,0(0),0(0),0(0),0(0),0(0),0(0),0(0),0(0)

总数,0/0,0/0,0/0,0/0,0/0,0/0,0/0,,,,,,95(0),94(0),0(0),1(0),2(0),2(0),13(0),67(0)
刘琦易点租测试,0/0,0/0,0/0,0/0,0/0,0/0,0/0,,,,,,0(0),0(0),0(0),0(0),0(0),2(0),0(0),2(0)
北京华清易点科技有限公司test,0/0,0/0,0/0,0/0,0/0,0/0,0/0,,,,,,90(0),90(0),0(0),0(0),1(0),0(0),8(0),59(0)
北森,0/0,0/0,0/0,0/0,0/0,0/0,0/0,,,,,,5(0),4(0),0(0),1(0),1(0),0(0),5(0),6(0)

总数,2/2,268/268,3/3,1/1,0/0,264/264,0/0,,,,,,14(0),1(0),0(0),13(0),0(0),0(0),1(0),2(0)
北京拜克洛克科技有限公司,2/2,268/268,3/3,1/1,0/0,264/264,0/0,,,,,,14(0),1(0),0(0),13(0),0(0),0(0),1(0),2(0)

总数,0/0,0/0,0/0,0/0,0/0,0/0,0/0,,,,,,0(0),0(0),0(0),0(0),0(0),0(0),0(0),0(0)
北京北森云计算测试公司,0/0,0/0,0/0,0/0,0/0,0/0,0/0,,,,,,0(0),0(0),0(0),0(0),0(0),0(0),0(0),0(0)

总数,0/0,0/0,0/0,0/0,0/0,0/0,0/0,,,,,,0(0),0(0),0(0),0(0),0(0),0(0),0(0),1(0)
北森云测试,0/0,0/0,0/0,0/0,0/0,0/0,0/0,,,,,,0(0),0(0),0(0),0(0),0(0),0(0),0(0),1(0)

总数,0/0,0/0,0/0,0/0,0/0,0/0,0/0,,,,,,0(0),0(0),0(0),0(0),0(0),0(0),0(0),1(0)
合创科技测试,0/0,0/0,0/0,0/0,0/0,0/0,0/0,,,,,,0(0),0(0),0(0),0(0),0(0),0(0),0(0),1(0)

总数,0/0,0/0,0/0,0/0,0/0,0/0,0/0,,,,,,0(0),0(0),0(0),0(0),0(0),0(0),0(0),1(0)
北京紫平方信息技术股份有限公司,0/0,0/0,0/0,0/0,0/0,0/0,0/0,,,,,,0(0),0(0),0(0),0(0),0(0),0(0),0(0),1(0)

总数,0/0,0/0,0/0,0/0,0/0,0/0,0/0,,,,,,0(0),0(0),0(0),0(0),0(0),0(0),0(0),1(0)
和创（北京）科技股份有限公司,0/0,0/0,0/0,0/0,0/0,0/0,0/0,,,,,,0(0),0(0),0(0),0(0),0(0),0(0),0(0),1(0)

总数,0/0,0/0,0/0,0/0,0/0,0/0,0/0,,,,,,0(0),0(0),0(0),0(0),0(0),0(0),0(0),1(0)
一起网测试,0/0,0/0,0/0,0/0,0/0,0/0,0/0,,,,,,0(0),0(0),0(0),0(0),0(0),0(0),0(0),1(0)

总数,0/0,0/0,0/0,0/0,0/0,0/0,0/0,,,,,,0(0),0(0),0(0),0(0),0(0),0(0),0(0),1(0)
北京易点租销售二组,0/0,0/0,0/0,0/0,0/0,0/0,0/0,,,,,,0(0),0(0),0(0),0(0),0(0),0(0),0(0),1(0)

总数,0/0,0/0,0/0,0/0,0/0,0/0,0/0,,,,,,0(0),0(0),0(0),0(0),0(0),0(0),0(0),1(0)
侃家科技测试,0/0,0/0,0/0,0/0,0/0,0/0,0/0,,,,,,0(0),0(0),0(0),0(0),0(0),0(0),0(0),1(0)

总数,0/0,0/0,0/0,0/0,0/0,0/0,0/0,,,,,,0(0),0(0),0(0),0(0),0(0),0(0),0(0),1(0)
智车优行测试,0/0,0/0,0/0,0/0,0/0,0/0,0/0,,,,,,0(0),0(0),0(0),0(0),0(0),0(0),0(0),1(0)

总数,0/0,0/0,0/0,0/0,0/0,0/0,0/0,,,,,,243(0),243(0),0(0),0(0),0(0),1(0),14(0),244(0)
天津快乐时代科技发展有限公司,0/0,0/0,0/0,0/0,0/0,0/0,0/0,,,,,,233(0),233(0),0(0),0(0),0(0),1(0),0(0),2(0)
北京快乐时代科技发展有限公司,0/0,0/0,0/0,0/0,0/0,0/0,0/0,,,,,,10(0),10(0),0(0),0(0),0(0),0(0),14(0),242(0)

总数,0/0,0/0,0/0,0/0,0/0,0/0,0/0,,,,,,0(0),0(0),0(0),0(0),0(0),0(0),0(0),1(0)
捷众普惠国际融资租赁有限公司测试,0/0,0/0,0/0,0/0,0/0,0/0,0/0,,,,,,0(0),0(0),0(0),0(0),0(0),0(0),0(0),1(0)

总数,0/0,0/0,0/0,0/0,0/0,0/0,0/0,,,,,,0(0),0(0),0(0),0(0),0(0),0(0),0(0),1(0)
医凌（上海）信息科技有限公司测试,0/0,0/0,0/0,0/0,0/0,0/0,0/0,,,,,,0(0),0(0),0(0),0(0),0(0),0(0),0(0),1(0)

总数,0/0,0/0,0/0,0/0,0/0,0/0,0/0,,,,,,0(0),0(0),0(0),0(0),0(0),0(0),0(0),1(0)
北京北森云计算股份有限公司,0/0,0/0,0/0,0/0,0/0,0/0,0/0,,,,,,0(0),0(0),0(0),0(0),0(0),0(0),0(0),1(0)

